epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5001.18,0.42659,0.28325,0.89882,0.87271,0.70787,0.78118,0.52832,0.95582,0.53184,0.98208,0.0002179,0.0002179,0.0002179
81,5062.38,0.42619,0.27853,0.89471,0.89102,0.70563,0.78461,0.54483,0.95543,0.55144,0.98048,0.000208,0.000208,0.000208
82,5123.99,0.42341,0.28197,0.89732,0.82797,0.70591,0.76218,0.52705,0.94999,0.52959,0.95883,0.0001981,0.0001981,0.0001981
83,5187.21,0.41304,0.27382,0.89421,0.80061,0.71315,0.77582,0.5235,0.96379,0.51746,0.97524,0.0001882,0.0001882,0.0001882
84,5249.49,0.41112,0.27172,0.89272,0.77036,0.72599,0.76839,0.53026,0.95671,0.5261,0.97399,0.0001783,0.0001783,0.0001783
85,5310.79,0.41486,0.27197,0.88656,0.88638,0.66965,0.75857,0.52535,0.9597,0.52135,0.97766,0.0001684,0.0001684,0.0001684
86,5372.58,0.39748,0.26627,0.88318,0.82731,0.7155,0.76957,0.53556,0.92871,0.52043,0.96756,0.0001585,0.0001585,0.0001585
87,5434.41,0.40278,0.26566,0.88673,0.83362,0.67776,0.76694,0.53873,0.93115,0.52432,0.94291,0.0001486,0.0001486,0.0001486
88,5495.59,0.39269,0.25793,0.88342,0.85696,0.69886,0.76644,0.53615,0.93657,0.52108,0.95621,0.0001387,0.0001387,0.0001387
89,5556.42,0.39183,0.2562,0.88327,0.83809,0.70293,0.76756,0.52462,0.94352,0.5086,0.98218,0.0001288,0.0001288,0.0001288
90,5618.83,0.38848,0.25521,0.8802,0.79483,0.71983,0.77208,0.53176,0.96523,0.53402,0.99001,0.0001189,0.0001189,0.0001189
91,5696.58,0.40585,0.24531,0.85732,0.80306,0.73144,0.76301,0.52372,0.94561,0.51571,0.99604,0.000109,0.000109,0.000109
92,5757.56,0.4019,0.24041,0.85221,0.80845,0.74985,0.77384,0.53368,0.94927,0.51955,0.99158,9.91e-05,9.91e-05,9.91e-05
93,5818.87,0.38896,0.23281,0.84944,0.80578,0.74813,0.77529,0.53042,0.948,0.51901,0.98656,8.92e-05,8.92e-05,8.92e-05
94,5879.86,0.38539,0.23219,0.85134,0.80925,0.75254,0.77175,0.53577,0.94666,0.51799,0.98587,7.93e-05,7.93e-05,7.93e-05
95,5941.57,0.37344,0.22582,0.84348,0.84712,0.68297,0.76612,0.53286,0.9399,0.51539,0.98437,6.94e-05,6.94e-05,6.94e-05
96,6003.63,0.371,0.22494,0.84359,0.79176,0.7348,0.75899,0.52757,0.95344,0.52811,0.98211,5.95e-05,5.95e-05,5.95e-05
97,6065.15,0.37512,0.22437,0.8508,0.7819,0.73158,0.7691,0.53063,0.94904,0.51794,0.97715,4.96e-05,4.96e-05,4.96e-05
98,6127.16,0.36377,0.2198,0.84508,0.77895,0.73936,0.76319,0.53239,0.93949,0.51376,0.98012,3.97e-05,3.97e-05,3.97e-05
99,6189.25,0.35831,0.21536,0.83952,0.77877,0.73526,0.76359,0.5302,0.93579,0.50952,0.97807,2.98e-05,2.98e-05,2.98e-05
100,6251.08,0.35294,0.21236,0.84088,0.77177,0.73978,0.76217,0.52989,0.93377,0.50619,0.97575,1.99e-05,1.99e-05,1.99e-05
